Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),NPHI,Gamma
541,541.48,39.20475998,90.29076953,10635.07137,5849.289254,6602.148171,188.563507,2.51257646,0.030399705,115.6166745,79.80280192,143.7876434,0.4637,21.8473
542,542.42,39.27281877,127.7785805,19430.27762,10686.65269,12575.35945,384.0074938,2.530505302,0.018906858,34.74880004,67.86863575,112.9484654,0.5228,17.487
543,543.37,39.34160159,100.4248733,22371.63586,12304.39972,14060.13021,409.8825651,2.533606099,0.016919168,26.23185354,65.07732191,106.4030053,0.6313,21.6647
544,544.33,39.41110844,156.5790208,27164.27306,14940.35018,18044.7929,573.0243245,2.53734965,0.014519455,17.81058073,61.23358489,97.75669559,0.4845,23.6051
545,545.39,39.48785559,114.3873436,22614.72261,12438.09743,14434.50179,431.480195,2.533829917,0.016775694,25.6724298,64.86331722,105.9106439,0.5763,22.7148
546,546.46,39.56532677,105.1673609,18189.48772,10004.21824,11491.74471,337.9992334,2.528931028,0.019916008,39.63729211,69.17534312,116.0936249,0.5288,25.9794
547,547.45,39.63700571,154.5955231,34420.82298,18931.45264,22822.23057,722.9576938,2.541204657,0.012048297,11.10658075,56.54528626,87.74734824,0.4594,25.7054
548,548.32,39.69999629,152.8190174,20777.27107,11427.49909,13754.31227,434.7373141,2.532022708,0.017934161,30.40017815,66.54136643,109.8071942,0.4906,23.3769
549,549.32,39.77239926,108.943456,29300.70458,16115.38752,18585.95884,550.3834702,2.538661421,0.013678576,15.31417346,59.7343979,94.49391363,0.5363,23.3997
550,550.4,39.85059447,50.18776352,31550.40135,17352.72074,18241.09828,465.2663008,2.539869732,0.012904018,13.21330101,58.26955142,91.3628249,0.5179,21.5734
551,551.33,39.91792923,93.39328443,23990.9812,13195.03966,14938.75517,429.4500657,2.535020279,0.016012642,22.81867265,63.69347882,103.2424,0.4387,20.4091
552,552.36,39.99250429,145.6035816,23022.9963,12662.64796,15140.78408,474.1227276,2.534196306,0.016540829,24.77235405,64.50901191,105.0983936,0.4521,22.5778
553,553.4,40.06780338,80.35676981,12238.11991,6730.965951,7486.388678,209.0716606,2.517543301,0.027215833,87.37701762,77.02263353,136.1564834,0.5933,22.418
554,554.39,40.13948232,-61.06280236,12170.17128,6693.594205,,,2.51735662,0.0273355,88.35280521,77.13288467,136.453612,0.4986,18.7882
555,555.42,40.21405738,-353.4981203,10397.42767,5718.585217,,,2.511724387,0.030945906,120.9475594,80.2503014,145.0435104,0.5574,14.1768
556,556.28,40.27632393,-308.2282344,11292.8399,6211.061944,,,2.514766883,0.028995588,102.5732248,78.61445087,140.4901218,0.5469,15.752
557,557.29,40.34945093,-270.3454619,17945.89432,9870.241877,,,2.528599186,0.020128727,40.71772071,69.4423227,116.7427627,0.6157,18.4001
558,558.3,40.42257793,-246.7087881,21423.32222,11782.82722,,,2.532689692,0.017506608,28.59897413,65.9350199,108.3896787,0.5472,18.3088
559,559.37,40.50004911,-69.88971948,24779.36979,13628.65339,,,2.535648692,0.015609813,21.39344915,63.05321214,101.7984438,0.5379,14.2453
560,560.46,40.57896834,6.688249678,7657.713502,4211.742426,,,2.498567907,0.039379547,222.6086244,86.30663794,162.841852,0.4896,19.9525
561,561.43,40.64919922,6.748483296,16051.94319,8828.568753,,,2.525714566,0.021977842,50.86276904,71.65086621,122.1997985,0.5501,20.8657
562,562.39,40.71870607,-23.10381545,20899.48416,11494.71629,,,2.532151707,0.01785147,30.04661804,66.42523127,109.5348501,0.5166,17.9207
563,563.41,40.7925571,-179.7870348,16936.84125,9315.26269,,,2.527134105,0.021067882,45.69984627,70.58826637,119.5546574,0.8909,17.4185
564,564.31,40.85771977,-176.7626826,29974.73789,16486.10584,,,2.53904044,0.013435615,14.63496212,59.28403367,93.52534394,0.608,22.829
565,563.82,40.82224232,0.313336117,52646.01835,28955.31009,,,2.546552877,0.008619951,4.758570098,48.13085239,71.11988302,0.7382,20.8885
566,566.34,41.0046978,62.72874844,22036.03144,12119.81729,13072.24315,348.0628393,2.533289851,0.01712189,27.03476948,65.37662872,107.0938475,0.6218,26.7784
567,567.33,41.07637674,53.68292431,39316.42187,21624.03203,22865.4011,590.8275519,2.543074515,0.01084967,8.518890794,53.91200724,82.36714065,0.5671,18.9024
568,568.32,41.14805568,24.46262517,19104.60647,10507.53356,,,2.530109816,0.019160374,35.94036329,68.20334998,113.7490802,0.4907,18.8796
569,569.32,41.22045865,70.96231353,32121.93818,17667.066,19331.31404,527.0900204,2.540152508,0.012722751,12.74850394,57.91404807,90.61126109,0.5302,15.3411
570,570.32,41.29286162,51.070184,11224.33014,6173.381576,6479.437142,165.8233927,2.514549466,0.029134958,103.8258241,78.73494853,140.8220324,0.506,20.2949
571,571.35,41.36743668,46.8559336,16571.5966,9114.378132,9438.204289,237.5713712,2.526564617,0.021432938,47.73097981,71.0199698,120.6248746,0.5212,18.1947
572,572.37,41.44128771,20.0271522,15221.24429,8371.684358,,,2.524248465,0.02291765,56.54989252,72.70310008,124.8557055,0.5171,20.4091
573,573.37,41.51369068,90.07039291,17695.11813,9732.314969,10948.78718,312.5604246,2.528249039,0.02035318,41.87686188,69.72098747,117.4227056,0.6935,20.7972
574,574.36,41.58536962,48.66343122,18679.73893,10273.85641,10696.5779,271.2161666,2.529575376,0.019502964,37.58936046,68.64869703,114.8196644,0.69,24.4042
575,575.38,41.65922065,106.1415615,24776.09777,13626.85377,15633.0028,460.6206645,2.535646158,0.015611437,21.39908504,63.05582709,101.8043178,0.7284,25.1347
576,576.41,41.73379571,93.0997286,24163.66562,13290.01609,15005.96891,431.1208005,2.535161057,0.015922399,22.49455385,63.55145688,102.9211127,0.5316,20.5004
577,577.41,41.80619868,120.3446901,25786.55559,14182.60557,16522.19105,498.7390077,2.536401333,0.01512735,19.75909158,62.26426538,100.0348836,0.684,21.3679
578,578.47,41.88294582,103.5160669,14995.03852,8247.271187,9430.185548,276.5197802,2.523824153,0.023189646,58.26425923,72.99958961,125.6107408,0.6306,14.3138
579,579.45,41.95390073,123.5215626,31357.97412,17246.88577,20154.76816,611.4527964,2.539772454,0.012966375,13.37552799,58.39069434,91.61966749,0.5565,19.1763
580,580.39,42.02195953,112.2327316,27246.4989,14985.57439,17302.80158,515.3293992,2.537403531,0.014484916,17.70352912,61.17373514,97.62529037,0.6314,19.9297
581,581.29,42.0871222,126.4040311,29124.01738,16018.20956,18771.08776,572.0105832,2.538559476,0.013743926,15.50005042,59.85416799,94.75238924,0.679,22.1441
582,582.37,42.16531741,187.5854925,39174.35871,21545.89729,26617.19696,875.177136,2.543026167,0.010880662,8.580623457,53.98368789,82.51139132,0.6657,22.9888
583,583.4,42.23989246,92.56611009,22750.5352,12512.79436,14109.4449,404.9151772,2.533953102,0.01669673,25.36764456,64.7447522,105.6384298,0.5506,22.8061
584,584.38,42.31084737,99.41520873,18874.54,10380.997,11805.80878,343.4951658,2.529823086,0.019344176,36.81949509,68.44326203,114.3250518,0.5696,23.4682
