Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),Gamma (API)
4780,4710.1,372.99634215479995,1010.7616832962287,133183.70902372498,73251.03996304875,122640.62438563487,5577.571879958929,2.552295006249994,0.004939098557696126,1.162153885165939,29.75186555851752,39.80670500633544,302.3
4781,4711.1,373.07553290280003,1058.1979048149428,161946.18248928693,89070.40036910783,152586.06388217417,7001.029769801495,2.5531960138788623,0.004361529564831933,0.8483029581865998,25.87989274300407,33.950064914073366,333.3
4782,4712.1,373.1547236508,1022.3369381593715,132967.60066564978,73132.18036610738,123130.56293507396,5612.148438769891,2.552287044166091,0.004944202457634128,1.1651962077135285,29.78402301340812,39.856322364043095,294.5
4783,4713.1,373.2339143988,1036.8221836552286,116285.41569783838,63956.978633811115,108439.50705043154,4955.958362567637,2.551600583153922,0.005384241567998533,1.4458684264483403,32.43863381128692,44.009649583885896,263.5
4784,4714.1,373.3131051468,1035.881653664657,115520.57593472063,63536.31676409635,107673.16074901015,4920.074342962929,2.5515652570859992,0.005406886483333947,1.4613108636306282,32.56930685125411,44.21706873622384,298.4
4785,4715.1,373.3922958948,1058.7346075740857,101990.41072830626,56094.72590056845,96105.63992794031,4409.997486827858,2.5508698176159172,0.00585268101543772,1.7858236838581518,35.03603683777582,48.1863131542862,308.1
4786,4716.1,373.4714866428,1023.0235998506572,109081.72096548504,59994.94653101678,101030.05264401734,4605.428304937503,2.55125191621628,0.005607746015205432,1.6026590788175312,33.704976668461924,46.031718195494214,279.0
4787,4717.1,373.5506773908,1023.1027905986571,115421.08126482124,63481.59469565169,106901.4846227444,4873.148633048537,2.551560633536313,0.0054098502972354055,1.4633393503176781,32.58636909657566,44.24417276152744,298.4
4788,4718.1,373.62986813879996,1005.9566986745143,109784.9191358652,60381.70552472587,100822.38621772254,4581.0940972932785,2.5512875952068312,0.005584874867415743,1.586165037315873,33.577732387169085,45.82732302699351,310.0
4789,4719.1,373.7090588868,1014.4135950982286,106134.17664992233,58373.79715745729,97874.16004779808,4454.311024459355,2.551098170916597,0.005706300694488931,1.6749188417166292,34.247416744796666,46.90612336897664,313.9
